B0_mT,eigenstate_i,eigenstate_j,energy_gap,W_Pz_plus1,W_Pz_0,W_Pz_minus1
0.1292,13,14,0.0016240667153581967,0.0,0.26541277882973174,0.5308255576594635
0.3515,1,2,0.0070176504903614045,0.0,0.22578982735098146,0.45157965470196293
0.387,11,12,0.00025216300729979935,0.8111503872431581,0.40557519362157907,0.0
