B0_mT,eigenstate_i,eigenstate_j,energy_gap,Pz,w_i,w_j,abs_rho_ij,abs_S_ji,2Re_rho_ij_S_ji,C_ij
0.1292,13,14,-0.0016240667153581967,plus1,0.0,0.0,0.0,0.2570699172830898,0.0,0.0
0.1292,13,14,-0.0016240667153581967,0,0.09969502472713501,0.16571775410259676,0.12853495864154493,0.2570699172830898,0.06608494237193466,0.06608476806723308
0.1292,13,14,-0.0016240667153581967,minus1,0.19939004945427002,0.3314355082051935,0.25706991728308987,0.2570699172830898,0.13216988474386931,0.13216953613446616
0.3515,1,2,-0.0070176504903614045,plus1,0.0,0.0,0.0,0.17158922693477535,-0.0,-0.0
0.3515,1,2,-0.0070176504903614045,0,0.18627437833542163,0.039515449015559846,0.08579461346738768,0.17158922693477535,0.029442862800073834,0.02944141288649498
0.3515,1,2,-0.0070176504903614045,minus1,0.37254875667084325,0.07903089803111969,0.17158922693477535,0.17158922693477535,0.05888572560014767,0.05888282577298996
0.387,11,12,-0.00025216300729979935,plus1,0.38161206839715744,0.4295383188460007,0.4048666525050687,0.4048666525050687,0.3278340126213201,0.3278339917756081
0.387,11,12,-0.00025216300729979935,0,0.19080603419857872,0.21476915942300034,0.20243332625253435,0.4048666525050687,0.16391700631066006,0.16391699588780406
0.387,11,12,-0.00025216300729979935,minus1,0.0,0.0,0.0,0.4048666525050687,-0.0,-0.0
