B0_mT,gap
0.3,3.477360430278324
0.301,3.367346793492615
0.302,3.2571106485748516
0.303,3.1466528630929247
0.304,3.0359743018437513
0.305,2.9250758268401
0.306,2.813958297317484
0.307,2.702622569723445
0.308,2.591069497714713
0.309,2.4792999321540776
0.31,2.3673147211085848
0.311,2.2551147098439515
0.312,2.142700740823969
0.313,2.0300736537051733
0.314,1.9172342853354394
0.315,1.8041834697527008
0.316,1.6909220381829755
0.317,1.5774508190361587
0.318,1.463770637905455
0.319,1.3498823175683015
0.32,1.2357866779808688
0.321,1.1214845362793966
0.322,1.0069767067783602
0.323,0.8922640009730713
0.324,0.777347227530683
0.325,0.6622271923012022
0.326,0.5469046983069035
0.327,0.43138054575017293
0.328,0.315655532007483
0.329,0.19973045163459346
0.33,0.08360609636292082
0.331,0.03271674489605658
0.332,0.14923728605494802
0.333,0.2659547438408083
0.334,0.3828683378067268
0.335,0.4999772903165649
0.336,0.6172808265559411
0.337,0.7347781745227451
0.338,0.8524685650272943
0.339,0.9703512316925753
0.34,1.0884254109498528
0.341,1.206690342037092
0.342,1.3251452669994848
0.343,1.4437894306814627
0.34400000000000003,1.562622080728147
0.34500000000000003,1.6816424675823072
0.34600000000000003,1.800849844481263
0.34700000000000003,1.920243467452508
0.34800000000000003,2.0398225953132254
0.34900000000000003,2.1595864896658696
0.35000000000000003,2.2795344148929217
0.35100000000000003,2.399665638156364
0.35200000000000004,2.5199794293931177
0.35300000000000004,2.6404750613114203
0.35400000000000004,2.7611518093875134
0.35500000000000004,2.8820089518603282
0.35600000000000004,3.0030457697270947
0.35700000000000004,3.1242615467437105
0.35800000000000004,3.2456555694145806
0.35900000000000004,3.367227126992347
0.36000000000000004,3.4889755114720913
